loan_word;purist_equivalent
corporaal;Rotmeester
corps de garde;Krijghs-wacht
corpulentie;lijvigheydt,swaarlijvigheydt
corraderen;samen-schrabben
correctie;verbeeteringe
correptie;berispinge
correspondentie;overeenkomst
corresponderen;overeenkomen
corripiëren;rucken,toerucken,berispen,begrijpen
corrival;meede-minnaar
corroberen;verstercken
corroderen;beknagen,beknabbelen
corromperen;verderven
corrosijf;bijtend
corruëren;neerstorten,instorten,omvallen
cortelas;Houwer,Sabel
cosmographie;werelt-beschrijvinge
costuymen;gewoonten,oude herkomen
cotteren;randen,beranden,kant-schrijven
coucheren;nederstellen,stellen
couleren;vlieten
courage;moedt,gemoedt
cours;loop,gangstreeck
courtisaan;Hovelingh
courtois;Hoofs,heusch
couvert;overdeckt,gedeckt
createur;Schepper
creatie;scheppinge
creature;schepsel
credentie;geloofbaarheyd,geloofs-brief
credit;geloove,inschuld
crediteren;gelooven,borgen,vertrouwen
crediteur;geloover,uytborger,schuldt-eyscher
creduliteyt;lightgeloovigheyd
creëren;scheppen
crimen;misdaat,laster-stuck
criminatie;betightinge,scheldinge
crimineel;misdadigh,strafwaardigh
crimineren;betighten,schelden
cronijck;tijd-schrift
crucifix;kruys-heghtinge
crudeel;Cruël,wreedt
cubiculair;Kamerling
cubitus;elleboogh,elle
culpabel;strafbaar,bestraffelijck,schuldigh
culperen;betighten,beschuldigen
cumbustie;ontsteekentheydt,onsteekinghe,brand
cumuleren;samen-hoopen,op-hoopen
curateur;versorger,besorger
cure;versorginge,geneesinge,heelinge
cureren;versorgen,geneesen,heelen
curieux;naau-keurigh,nieusgierigh,sindelijck
currier;looper
custodie;bewaringe
damneren;doemen
dangereux;gevaarlijck
datum;daghstellinghe,tijdt-stellinghe,verleent
debatteren;bestrijden,beveghten,wederspreken
debauchant;slampamper,slemper,optrecker
debaucheren;optrecken,mooy-weer-spelen,yemandt oprockenen,verleyen,
debil;swack,kranck
debit;schult
debiteur;schuldenaar,schuld-plightige
debonnaire;goedertier
december;Wintermaant
decent;betamelijck,gevoeghlijck
decentie;betamelijckheyd,gevoeglijckheyt
decerneren;onderscheyden,bestemmen
decideren;besleghten,vonnissen
decifreren;af-cijfferen
decipiëren;bedriegen
decisie;besleghtinge,vonnis
declaratie;verklaringe
declareren;verklaren
declinatie;buyginge,afwijckinge
declineren;buygen,af-neygen,af-wijcken,dalen
decoreren;vercieren,op-proncken,optoyen
decorum;betamelijckheydt,welvoeghentheydt
decreet;besluyt
dedicatie;toewyinge,toe-eygening
deduceren;beleyden,verhalen,onderwijsen,berighten
deductie;verhaal,beleydinge,beright
defailliëren;missen,ontbreeken
default;Defect,ontbreekinge,ghebreck,missinghe
defenderen;verweeren,verdadigen,beschermen,beschutten
defenseur;beschermer,beschutter
defensie;beweeringe,bescherminge,beschuttinge
defereren;anbrengen,opdragen
deficiëren;ontbreeken
defiëren;wantrouwen
definiëren;bepalen
definitie;bepalinge
defloratie;schoffeeringe,onteeringe
defloreren;schoffeeren,schenden,onteeren
defluxie;afvloeyinge,sinkinge
defrauderen;bedriegen,verkorten,vervoordelen
defrayeren;kost-vry-houden,kost-vryen
degouteren;onsmakelijck maken,wansmaken,walgen
degraderen;afsetten
deguiseren;vermommen
delaberen;afsijgen
delatie;anbrenginge
delay;uytstel
delayeren;vertrecken,uytstellen
delectatie;verlustiging
delecteren;verlustigen
delectie;verkiesinge
delegatie;beveelinge,oversettinge,ontmakinge
delegeren;bevel geeven
deliberatie;beradinge,besinninge
delibereren;beraden,raatslaan,besinnen
delicaat;teer,saght,lecker
delict;misdaat
deliëren;Diluëren,verdunnen
deligeren;verkiesen
deliniëren;afpalen,afmeeten,afteykenen
delinquant;misdoender,misdadige
delinqueren;misdoen
delireren;raaskallen,sinneloos zijn
delivreren;bevrijden
delogeren;verhuysen,verplaatsen
demanderen;begeeren
demanteleren;ontmantelen,ontwallen
demigreren;verhuysen
demissie;vernederinge,afsettinge
democratie;volcks regieringe
demoliëren;verdelgen,afbreken
demoniaack;beseetene
demonstratie;betooninge,vertoogh
demonstreren;betonen
denominatie;noeminge,naam-noeminge
denoteren;beduyden
denunciatie;ankondinge,ansegginge
denunctiëren;ankondigen,anseggen
dependeren;af-hangen,aenhangen
deploreren;beweenen
deponeren;ter getrouwer handt stellen,af-leggen,uytsetten,af-stellen
deportement;afsettinge,draginge,verdraginge
deporteren;afsetten,dragen,verdragen
deposeren;betuygen,daarstellen,over-stellen
depositie;betuyginge,af-legginge,uytsettinge
depositum;ter getrouwer handt gestelt,bewaar-anneming
depraveren;verargeren,bederven
deprecatie;af-biddinge
depredatie;roovinge,plonderinge
deprehenderen;vatten,gewaar worden
deprehensie;vattinge,gewaar wording
deputeren;afsenden
derivatie;afleydinge
deriveren;afleyden,afwenden
derogeren;afbreken,onttrecken,weeren
desabuseren;weder te recht brengen
desadvoyeren;afstemmen
desarmeren;ontwapenen
desbanderen;ontspannen,los-laten,ontslaan,ontbinden
desborderen;overvloeyen
descendent;afkomelingh,neergaende
descenderen;neerdalen,afkomen
desconsoleren;wantroosten
describeren;afschrijven,beschrijven
descriptie;beschrijving
desereren;verlaten
desert;verlaten,woestijn
desertie;verlatinge
desheriteren;onterven
deshorteren;af-manen
designatie;afteykeninge,beduydinge
designeren;afteykenen,beduyden
desisteren;afstaan
desmoveren;beweghen,versetten,vervoeren
desordre;wanschick,wanstal
despect;veraghting,afsight,smaat
despenderen;bekostigen,verspillen
despensier;schafmeester
despereren;wanhopen
despiciëren;versmaden,veraghten
desseing;opset,voorneemen
destinatie;schickinge,bestellinge
destineren;schicken,bestellen
destituëren;ontsetten,verlaten
destructie;verdelgingh,vernielinghe,verwoestinge
destruëren;verdelghen,vernielen,verwoesten
detentie;ophoudinge
deterioreren;verslimmen,verargeren
determinatie;afpalinge,besluyt
determineren;afpalen,besluyten
detestatie;afschrick,verfoeyinghe,afsweeringe
detesteren;af-sweeren,afgruwen
detineren;ophouden
detorqueren;omwenden,omkeeren,verdrayen
detorsie;omkeering
detracteren;Detraheren,aftrecken,onttrecken,aghterklappen
detractie;aftreckinghe,ontreckinghe,achterklap
devalleren;neerlaten,afsincken,sacken
devijs;sin-spreuck
devoir;plight,plight-schuld
devoleren;afvliegen
devolutie;ontwindinge
devolveren;afwentelen,afrollen,ontwinden
devoot;andaghtigh
devoreren;verslinden,opslocken
devotie;aandaght
devouëren;verlaten,vervloecken
dexteriteyt;behendigheyd
diadema;Koninghs Kroon
diaken;armer-versorger
dialectica;Reeden-konst,Reedenkaveling
dialogus;tweespraak
diameter;middel-lijn
diaphragma;middelschot
dicteren;bewoorden,voor-spellen
dictionaris;Woord-boeck
diëte;eet-reegel
diffamatie;faamrovinge
diffameren;faamroven
different;differentie,verschil
differeren;uytstellen,verscheelen,verschillen
difficil;swaar
difficulteyt;swaarheydt
diffidentie;wantrouw
diffringeren;verbreeken
diffugeren;afvlieden,ontvlughten
diffunderen;vergieten,verplenghen,uytspreyden
digereren;verdouwen,verteeren
digestie;verdouwinge
digniteyt;waardigheyd,waardy
digressie;buyten-tree,uytspanninghe,uytweyding,uytsprong
dilaberen;vergaan,vervallen
dilateren;wijden,uytsetten
dilatie;uytstel
dilay;uytstel
dilectie;liefde,verkeurtheyd,keure,verkiesinge
diligent;naerstigh,vlijtigh
diligeren;liefhebben,lieven
diluëren;afspoelen,overspoelen
diluvie;overwateringh,overspoelinge,ondervloeyinge
dimensie;afmetinge
diminuëren;verkleynen
dimitteren;vry-laten,vry-stellen,ontslaan
direct;reghts-weeghs,reghel-reght,recht-uyt,recht-toe
directeur;bestierder,bewinthebber
directie;bestieringe,beleydt
direptie;ontruckinghe,plonderingh,roovingh
dirigeren;bestieren,stieren,beleyden
dirimeren;scheyden,afscheyden
diripiëren;ontrucken,plonderen,berooven
disavantage;nadeel
disceptatie;krackeel
discepteren;krackelen
discerneren;onderscheyden,onderkennen
discerperen;verscheuren
discinderen;doorsnijden
discipline;leeringe,tucht
discipul;leerling
discommodereren;ontrieven
discoord;tweedracht,oneenigheyd
discorderen;verscheelen
discoureren;reedeneren
discours;reeden-voeringhe,reedeneringhe,reeden
discreet;bescheyden
discrepantie;verschil
discreperen;verscheelen
discretie;bescheydenheydt
discussie;uytdrijvinge,verdrijvinge
discutieren;uytdrijven,verdrijven,verstoten
disert;bespraakt
disgratie;ongunst,ongenade
disjunctie;scheydinge
disloqueren;verplaatsen,ontplaatsen,ontleden
dispareren;verdwijnen
dispariteyt;ongelijckheyd
dispensatie;uytdeelinge,bedeylinge
dispenseren;vry-geven,uytdeelen,schicken
dispensier;schaf-meester,uytdeelder
dispergeren;verspreyden
dispersie;verspreydinge
dispiciëren;afschouwen
displiceren;mishagen
dispoliëren;plonderen,berooven
disponeren;schicken
dispoost;wel-gestelt
dispositie;beschick,gesteltenis
disputatie;reeden-weginge,reeden-strijd
disputeren;reeden-wegen,reeden-strijden
dissentie;tweedraght,oneenigheyd
dissentiëren;oneens zijn
dissereren;reedeneren
dissertatie;reedeneeringe
dissidue;tweedraght
dissimulatie;ontveynsinge
dissimuleren;ontveynsen
dissipatie;verstrooyinge
dissiperen;verstrooyen
dissolutie;ongebondenheydt,lossigheyt
dissoluyt;ongebonden,los
dissolveren;ontbinden,los maken
dissonant;wanluydende
dissonantie;wan-geluydt
dissuaderen;ontraden
distantie;tusschenheydt,wijdte
distentie;uytspansel,uytspanninge
distillatie;afsijpinge
distilleren;afdruypen,afsijpen
distinctie;onderscheyd
distorqueren;ombuygen,verdrayen
distractie;aftreckinghe,van een trecken,verkoopinge
distraheren;aftrecken,van een trecken,verkoopen
distribuëren;om-deelen,verspreyden
distributie;verspreydinge,om-deylinge
disturberen;verstoren
divers;ongelijck,onderscheyden,verscheyden
diversie;afwendinge
diversiteyt;verscheydenheyd
diverteren;afwenden,ontwenden
divideren;scheyden,verdelen
diviseren;redeneren
divisie;deelinge
divortie;eghtscheydinge
divulgeren;gemeen maken,ruchtbaar maken,verspreyden
doceren;leeren
docile;leersaam
doctor;Leeraar
doctrine;leere,leeringe
document;leerstuck,bewijsinge
dogmatiseren;voort leeren,leerlingen maken
doleantie;treuringhe,bedroeftheydt,weeklage,beklagh
dolent;droevigh,treurigh
doleren;treuren,klagen
doleur;droefheyt,smerte
domainen;Lants inkomsten,heerlijckheden
domestijck;huysgenoot,behuyst,huyslijck
domicilie;woonsteede,maalsteede
dominatie;heerschappy,heerschinge
domineren;heerschen
dommage;schade
donatie;gifte,geschenck,schenckinge
dos;Dote,Douarie,Bruydtschat,morgen-gave,Bruylofts-gave
doteren;begaven,ten houwelijck geven
draperye;Laken-handel
dresseren;toerechten,opstellen,toestellen,oprichten,afrechten
drogist;Kruydenier
dubiteren;twijffelen
duc;Hertogh
duplicatie;verdubbelinge
dupliceren;dubbelen,tweevout maken
duplijck;tweevout,dobbel-antwoord
duwarien;morgen-gaven
dysenterie;doorloop,roode-loop
ecclesiastijck;Kerckelijck,Geestelijck
eclipsis;verduysteringe,mangel
ederen;uyt-geeven
edict;gebodt
edificatie;bouwinge,stightinge
edifitie;gebouw
editie;uytgevinge
educatie;opvoedinge
effaceren;uytveegen,uytwissen
effaroucheren;verwilderen,verbijsteren
effect;daadt,werck
effect;sorteren,stant grijpen
effect sorteren;stant grijpen
effectuëren;te weeghe brenghen,uytwercken
effemineren;verwijven
efficatie;kraght,werckinge
efficiëren;te weege brengen
effigie;afbeeltsel
efforceren;onderwinden,pogen
effort;poginge
effrayeren;Effroyeren,verschricken,verbasen
effugie;uytvlught
effusie;uytstortinge,plenginghe,vergietinghe
egaal;even gelijck
egaleren;even gelijck maken
egayëren;vervrolijcken
elaberen;ontsluyten
elaboreren;uytwercken
elatie;verheffinge
electie;verkiesinge
electuarie;slickingh,leckernye,leckinge
elegant;aardigh
elegantie;aardigheydt
elegie;treur-sang,treur-lied,klaght
element;hooftstoffe,beginsel
elevatie;verheffinge
eleveren;verheffen
elideren;uytdrijven
eligeren;uytkiesen,verkiesen
eloceren;verhuuren
elocutie;uytspraacke
eloquent;welspreekend
eloquentie;welspreekentheyd
elucideren;verlighten,verklaren,helderen
eluderen;bespotten
eluëren;af-spoelen,uyt-wasschen
emailleren;doorvlammen,brand-schilderen
emancipatie;handlightinge
emanciperen;overgeven,vry-eygenen,vry-maken
emaneren;uytgeeven,uytkomen
emballeren;inpacken
embarasseren;inmengen,indringen
embarqueren;inscheepen
embarreren;door-rijgen,doorsteken
emblema;beeld-werck
embraseren;ontsteken,ontfoncken,in brant steken
embrasseren;om-armen
embuscade;verspiedinge,laagh-legginghe,belaginge
emenderen;verbeteren
emigreren;verhuysen
eminent;uytstekende
emissaris;uytgesonden
emissie;afvaardinghe,uytlatinghe,afsendinge
emitteren;afsenden
emoliëren;versaghten
emologeren;voor goedt aghten,voor goedt kennen
emolument;genot,gewin
empareren;bemaghtigen
empescheren;beletten,verhinderen
emphiteusis;erfpaght-reght
employ;besteedinge,anlegginge,beesigheyt,aanwendinge
employeren;besteeden,anleggen,beesigen,aanwenden
emporteren;ontvoeren
emputeren;wijten,aanrekenen,toerekenen
emulatie;afgunst,onderganinghe,volgh-sught,volgh-yver
emunderen;reynigen
enarreren;vertellen,verhalen
encourageren;moedt geeven
enërveren;ontzenuwen,krachteloos maacken
enfantery;voet-volck
engageren;verpanden,inwickelen
enorm;wanstalligh,ongeschickt
enqueste;ondersoeck
entameren;ontginnen,beginnen,aanvangen
enterinement;gestading
enterineren;gestaden
enthusiast;Geest-drijver
entreprinse;anslagh
enuderen;ontdecken
enumereren;aan-tellen,op-tellen,toe-tellen
enuntiëren;uytseggen,uytspreecken
envelopperen;inwickelen,inwinden
envie;nijdt,wangunst
epigramma;opschrift,overschrift
epilogus;sluyt-reden
epiphanie;verschijninge
epistel;Send-brief
epistilium;stijlbandt
epitaphe;Graf-schrift
epitome;verkortsel,kort-begrijp
epuleren;brassen,gastmalen
equaliteyt;even-gelijckheydt
equinoctie;naght-eveninge
equipage;uytrustinge
equiperen;uytrusten
equipollent;gelijck-maghtigh
equiteren;te paard rijden
equiteyt;billickheyd
equivalent;gelijck-waardigh
equivaleren;gelijk gelden,even waardig zijn
equivooc;dubbelsinnigh
ercerperen;uytnemen,uytplucken
erigeren;opreghten
eripiëren;uytrucken,ontrecken,ontnemen
eroderen;uytknagen
erogeren;uytdeelen
erreren;missen,dwalen
erreur;dolinge,missing,dwaling
eruditeyt;beschaaftheyd
eruptie;uytbreuck,uytval
espargne;Espergne,versparinghe,zuynigheyd
esquadre;Esquadron,hooft-gedeelte,wijck,troep,slagh-orde
esquinantie;keelsieckte,gorgelsieckte
essay;proeve
essentie;wesen,wesentheyt
estimeren;aghten,waardeeren
evacuatie;leediging
evacuëren;leedigen,ontleedigen
evaderen;ontgaan,ontsnappen
evageren;uytwijcken,swerven,uytswerven,uytweyden
evaluatie;waardeeringe
evaluëren;waardeeren
evanesceren;verdwijnen
evaporatie;op-dampinge
evaporeren;uytwasemen,uytdampen,op-dampen
evelleren;uyttrecken,uytplucken
evenement;geschiedinge,gebeuringe,voorval,uytkomst
eveniëren;gheschieden,ghebeuren,overkomen
eventileren;uytwannen
everteren;verkeeren,omkeeren
evictie;uytwinninge,afwinninge
evident;opentlijck,schijnbaarlijck
evidentie;schijnbaarheyd
evinceren;afwinnen,uytwinnen
eviteren;mijden,schuwen
evocatie;uytroepinge,overdaging
evoceren;uytroepen
evolutie;ontfouwinge,ontwindinge
evolveren;ontrollen,ontwinden
evomeren;uytspouwen
exacte;gaau,door-wroght
exactie;af-eysschinge,schattinge
exaggeratie;vergrootinge,ophoopinge
exaggereren;vergrooten,ophoopen
exagitatie;oeffeninge,quelling
exagiteren;oeffenen,omleyden,quellen
exaltatie;verhooginge,verheffinge
exalteren;verhoogen,verheffen
examen;examinatie,uytvorschinge
examineren;uytvorschen,ondertasten
exaspereren;vergrammen,vergrimmen,verbitteren,ontsteecken
exauceren;uythooren,verhooren
excederen;te boven gaen
excellent;uytnemend,uytstekend
excelleren;uytsteken,overtreffen,uytmunten
exceptie;uytneminge,verset
excerneren;uytsiften,uytdoen
exces;overdaadt
excessif;overdadigh
excideren;uythouwen,uytsnyen,uytvallen
excipiëren;uytnemen,uytsonderen
exciteren;anporren,aanritsen,opwecken
exclamatie;uytschreeuwinge
exclameren;uytschreeuwen
excluderen;uytsluyten
exclus;uytgeweert,uytgesloten
excogiteren;besinnen,versinnen
excommunicatie;ban,uytsluytinge
excommuniceren;bannen,uytsluyten,verwaten
excoriatie;villinge
excrement;uytwerpsel
exculperen;ontschuldigen
excurreren;uytloopen
excursie;uytloopinge
excusatie;Excuse,ontschuldiging
excuseren;ontschuldigen
excussie;afdwinginge
excuteren;afdwingen
execrabel;afgrijselijck
execratie;afgrijsing
execreren;afgrijsen,vervloecken
executeren;uytreghten
executeur;uytrechter,uytvoerder
executie;uyt-rechtinge
exempel;voorbeeld,voorschrift
exempt;bevrijdt,vry
exempteren;bevryen,uytsonderen
exemptie;bevrijdinge,vrydom
exequeren;volbrengen,verrigten,uytvoeren
exerceren;Exërciteren,oeffenen
exercitie;oeffening
exercitores;mede-reders
exhalatie;uytwaseming
exhaleren;uytwasemen
exherederen;onterven
exhiberen;daar stellen,op wijsen
exhibitie;daarstellinge,opwijsinge
exhortatie;anmaninge
exhorteren;anmanen
exigentie;vereyschinge,eysch
exigeren;af-eyschen
exigue;gering
exileren;ballingh zijn
exilie;ban,uytbanninge
exiliëren;uytspringen
eximeren;uytkoopen,vry-koopen,bevryen,uytsonderen
existentie;daar-wesinge
existeren;daar zijn
exitie;eyndinge,ondergangh
exonereren;ontlasten
exorbitantie;uytsporigheyt,al te
exorcist;besweerder,uytbander,duyvel-jager
exordie;anvangh
exoreren;verbidden
exorneren;opproncken
expectatie;verwaghtinge
expecteren;verwaghten
expediënt;afgereght,vaardigh
expediëren;redden,afvaardigen
expeditie;reddinge,afvaardinge
expelleren;uytdrijven
experientie;ondervindinge,uytvindinghe,ervarentheydt
experiëren;uytvinden,ervaren
experimenteren;ondervinden
expert;ervaren,ondersocht
expiëren;versoenen
expileren;uytrooven,plonderen
expiratie;eyndinge
expireren;eyndigen,uyt-aassemen,den geest geeven
expisceren;uytwissen,uytvagen
explicatie;ontvouwinge,uytlegginge
expliceren;ontvouwen,uytleggen
exploiteren;uytwercken
exploot;uytwerckinge
exploreren;beproeven,ondersoecken
exponeren;uytleggen
exporteren;uytdragen
expositie;uytlegginge
expostuleren;beklagh doen,sich beklagen
expres;uytdruckelijck
expresseren;uytdrucken
expressie;uytdruckinge
exprimeren;uytdrucken
exprobatie;veraghtinge,verwijt
exprobreren;verwijten
expugneren;afwinnen,afstormen,ontweldigen
expulseren;uytstooten,uytdrijven
expulsie;uytdrijvinghe
expurgatie;uytsuyveringhe
expurgeren;uytsuyveren
exquireren;doorsoecken
exquis;Exquisit,uytghelesen
extenderen;uytspannen,recken,uytrecken,uytstrecken,uytbreyden
extensie;reckinghe
exteren;voor handen zijn,uytstaan
extereren;uytwrijven
extergeren;uytwissen
exterieur;uytwendigh
extermineren;uytroden,uytdrijven
extersie;uytwissinghe
extimatie;aghtinghe
extimeren;aghten
extingeren;uytblussen
extirpatie;uytroyinghe
extirperen;uytroyen
extolleren;verheffen
extorqueren;afperssen,ontwringhen
extorsie;af-perssinge,ontwringing
extract;uyttrecksel
extraheren;uyttrecken
extraordinaris;ongewoon,onghemeen
extravagant;uytsporigh
extravagantie;uytsporigheydt
extravageren;uyt het spoor slaan
extreem;uytneemende,uytterst
extremiteyt;uytterste
extruderen;uytstooten
exulcereren;versweeren,uytsweeren
exultatie;opspringinge
exulteren;opspringen,huppelen
exunderen;overvloeyen
fabel;vertellinge,praat-reden,verdigtsel
fabriceren;timmeren,verzieren,verdichten
fabrijck;bouwinge,timmeringe
fabuleus;beuselaghtigh,verdight
facetieux;boertigh
facil;light-doenlijck,daatvaardigh
faciliteren;lighten
faciliteyt;daatvaardigheyd
facteur;saackvoerder,bewinthebber
factie;rottinge,samenrottinge
factieux;rotaghtigh
faculteren;maght geeven
faculteyt;vermogen,vermogentheyd
facundie;welsprekentheyd
failleren;ontbreken
falcidie;afkorting,afsnijding
falcificatie;vervalschinge
fallatie;valscheydt
fameux;berught
familiaer;huys-gemeen,gemeensaam
familiariteyt;gemeynsaamheydt
familie;gesin
fantasie;verbeeldinge
fantasme;Fantosme,schim,inbeeldinghe,molick,bulleback,bytebaau
fantastijck;bysinnigh,eyghensinnigh,vies
farce;klught
farous;woest,dul-koppigh
fascheren;quellen,verdriet aen-doen
fascheux;verdrietigh
fascineren;betooveren
fastidie;walginge,satheyd
fastidiëren;walgen,sat maken
fataal;nootschick
fatigatie;vermoeyinge
fatigeren;vermoeyen
fatigue;vermoeytheyd
fatsoen;gestalte,form,gedaante
fausbourg;voorstadt
fauteur;gunner,gunstdrager
faveren;begunstigen
faveur;gunst
favorabel;gunstigh
favorijt;gunsteling
febre;koortse
februarius;sprockelmaant
feliciteyt;welvaart,voorspoed,geluck
felonie;felheydt
femenijn;wijflijck,vrouwlijck
fenderen;splijten
feodaal-goedt;leen-goedt
feriën;vier-dagen
ferme;vast,bondigh
ferment;deesem,suurdeegh
fermeren;sluyten
feroos;dulkoppigh
fertiliteyt;vrughtbaarheyd
festineren;haasten,spoeyen
festoyeren;onthalen
feudaal;leen-goedt
fiantie;betrouwelijckheyd
fictie;verzieringe
fidecommis;erf-beveelinge,erf-betrouwing
fidejussor;borge
fidel;getrouw
fiëren;betrouwen
figure;gestalte,afbeeldtsel
figureren;afbeelden
fin;eynde
finalijck;eyndelijck
finantien;inkomsten
finesse;loosheydt
fingeren;verzieren,bootsen
firmament;Starren-Hemel
firmeren;vestigen
fiscaal;Graaflijckheyts-versorger
fistel;loopend gat
flambeau;Fackel
flanckering;zijdelings-borstweering
flateren;pluymstrijcken,vleyen
flebotomie;aderlatinge
flecteren;buygen
flegmatijck;koutvoghtigh
fleur;Blom,bloeysel
floreren;bloeyen
fluctuëren;vloeyen,vervloeyen,swerven,swalpen
fluctueux;vloeyigh
foire;Jaarmerkt
foment;stovinge
fonderen;grontvesten,vestigen
fonteyn;Bron,well
force;gewelt,maght
forceren;bemaghtigen,overweldigen
forclusie;verstootinge
foreest;Bosch
formaliseren;tegen-an-kanten,tegen-kanten
formaliteyt;gedaante,gestalte
formeren;maken,toe-stellen,gedaente gheven
formidabel;vreesselijck,ontsichlijck
formulier;leest,voorschrift
fornicatie;hoerdery
forniceren;hoerejagen
fortificatie;sterckmakinge
fortificeren;verstercken
fortresse;sterckte,Slot
fortune;geluck,kansse
fouleren;vertreeden
fournais;vyer-oven
fournieren;Furneren,stoffeeren,opbrengen
foveren;koesteren
fractie;breekinge,breucke
fracture;breucke
fragiliteyt;broosheydt,breekelijckheydt
fragment;breecksel,afbreecksel,stuck
frange;zoom,boortsel
frangeren;breeken
fraude;bedrogh
frauderen;bedriegen
frayeur;schrick
fregat;Jaght,Roof-jaght
frenesie;krancksinnigheydt
frenetijck;krancksinnigh
frequent;veelvuldigh,veelvoudigh
frequentatie;bewandeling,door-wandeling
frequenteren;bewandelen,door-wandelen
fricasseren;fruyten
friseren;krullen
frivool;leuraghtigh,sleght,beuselachtigh
frontieren;grensen,kusten
frontispis;voor-geevel
fructueux;vrughtbaer
frustratie;mis-leydinge,ontwendinge
frustreren;mis-leyen,ontwenden,te leur stellen
fugeren;vlughten,vlieden
fugie;vlught
fugitijf;vlughtigh
fulmineren;blixemen
fumeren;roocken
fumeux;roockigh
fundament;grondtvest,grondt
fundatie;vastsettinge,grondlegginge
funderen;vestigen,vast stellen,grondt-leggen
fureur;Furie,uytsinnigheydt,razernye
furieux;dul,rasende,uytsinnigh
furneren;verschaffen
fuseye;vier-pijl
gabe;boert
gabelle;tol
gabion;Schans-korve
gage;wedde,huur-loon,huur-winst,bezoldingh
gageren;bezolden,beloonen
gaillard;vrolick
galey;roey-schip
galland;reghtschapen,geestigh
gallery;wandel-gangh,wandel-dreef
gallioen;Oorloghs-schip,Conincx-schip
galop;ren
galoperen;rennen
gangrena;kout vyer
garanderen;waren,waar-borghen,ontheffen
garant;waarschap,waar-borgh,verhaal
garde;bewaringe,waght
gardiaan;bewaarder,waghter,opsiender
garnisoen;besettinge
gauderen;verblijden
geleren;vriesen
genealogie;geslaght-tafel,afkomste
generaal;gemeyn,algemeyn
generaliteyt;alghemeynschap,landt-ghemeynschap
generatie;teelinge
genereren;teelen
genereux;grootmoedigh,edelmoedigh
genitoires;teel-leden
geniture;teelsel,zaedt
gentil;Edel
geographie;aard-beschrijvinge
geomantie;aard-kunst
geometrie;aard-metinge,meet-konst
gepassioneert;zughtigh,zijdigh
germanien;Duytschlandt
gestie;gebaar
glorie;lof,roem
gloriëren;roemen
glorieux;loflijck,lof-rijck,beroemt
glorificeren;roemen,heerlijck maken,brallen
glosse;uytlegginge
glosseren;uytleggen
gourmanderen;vreten,gulsigh zijn
gourmandise;vratigheyt,gulsigheydt
gouvernement;bestieringe,plaats-voogdy
gouverneren;bestieren,beheerschen
gouverneur;Voogt,Ruwaert,Lantvoogt,Stadtvooght,Rijcx-vooght
graat;trap
gradatie;overstappinge
gramatica;letter-kunst
grasseren;straatschenden,woeden
gratie;goetgunstigheydt
gratieux;goetgunstigh,lieftalligh
gratuleren;danckseggen,geluck wenschen,sich wel beloven
gravamina;swarigheden
graveren;beswaren
gravis;deftigh
graviteyt;deftigheydt
griffier;Hof-schrijver
grisons;Switsers
grosseren;in ’t net schrijven
grossier;groot-handelaer
guide;leydtsman
guirlande;Blom-krans,Roosen-hoedt
gurgiteren;slocken,slicken
habijl;af-gereght,bequaam,gheschickt,behendigh
habijt;kleedt,kleedingh
habiliteren;bequaam maken
habiliteyt;behendigheydt,bequaamheydt
habitatie;woonsteede,wooninge
habiteren;verblijven,woonen
habituatie;kleedinge,bekleedinge
habitude;bywooninge
habituëren;bekleeden
habitus;hebbinge,daadtvaardigheydt
hacqueney;Telle
hamey;voor-poorte
hanteren;bewandelen,omgaan
harangue;beweegh-reden,vertoogh
harasseren;uyt-sloven,af-sloven,af-mennen
harceleren;krackeelen
harmonie;wel-luydinge,eenstemmigheyt,over-een-stemminge,t’samen-stemminge
haverij;ongeluck,ongeval
hazard;lot,gevaar
hazarderen;wagen
hemisphere;halfrondt
hepatique;leeversughtigh
heraut;Wapen-vooghdt,Wapen-dragher,Wapen-heer
herbarist;kruydt-leeser,plucker,Kruydenier
herbarius;Kruyd-boeck,Kruyd-schat
herediteren;erven
herediteyt;erfgoet,erfdeel
heresie;Kettery,stijfsinnigheyt,eensinnigheydt
heritage;erfgoet,erfdeel
hermaphroditi;man-wijven
heroicq;heldigh,heerlijck
heromijt;Kluysenaer
heureux;geluckigh
hideux;grouwsaam
hierarchye;Kerck-vooghdy
hilariteyt;vrolickheydt
hipocras;Kruyd-wijn
historie;gheschiedenis,verhael,ghedenck-schrift
homicide;doodtslager
homicidie;doodtslagh-
homilie;gespreck,reedeneeringe
hommage;manschap
honneur;eer
honorabel;eerlijck,eerbaar
honoreren;eeren
horison;gesight-eynder,Kim
horloge;uyr-werck
horreren;verschricken
horreur;afschrick
horribel;schrickelijck
hortatie;vermaningh
horteren;vermanen
hospes;Waard
hospitaal;Herbergh,gasthoudinghe,gasthuys,gastvry
hospitaliteyt;huysvestinge,gast-vryheydt,herberghsaamheydt,waardschap
hostage;pandt
hostel;huysvestinge
hostie;zeegh-offer
hostiliteyt;vyandtschap
humain;menschlijck,beleeft,heus
humaniteyt;heusheyt,beleeftheydt
humble;needrigh,demoedigh
humecteren;bevoghtigen
humeren;insuygen,slurpen
humeur;voght,eygen aart
humide;voghtigh
humiditeyt;voghtigheydt
humiliëren;verneederen
humiliteyt;needrigheydt
hydropisie;watersught
hymne;Lof-sangh
